domain,dga_family,label,f23
sexhardtvxxxy.top,Non-DGA,benign,120.0
dijiuke.com,Non-DGA,benign,
maplebear.co.kr,Non-DGA,benign,982.0
bauerfeind.de,Non-DGA,benign,
fan-naruto.ru,Non-DGA,benign,1636.0
jobruf.de,Non-DGA,benign,
ligabold.dk,Non-DGA,benign,
triumemba.org,Non-DGA,benign,57.0
zevera.com,Non-DGA,benign,151.0
peoplesweather.com,Non-DGA,benign,792.0
slideflix.net,Non-DGA,benign,
imperial.cl,Non-DGA,benign,
lifestyler.co.kr,Non-DGA,benign,
russian-language-for-lovers.com,Non-DGA,benign,
saiseisha.co.jp,Non-DGA,benign,147.0
quizzdedicat.com,Non-DGA,benign,
aspiration.com,Non-DGA,benign,
hanzhong.gov.cn,Non-DGA,benign,
wens.com.cn,Non-DGA,benign,1095.0
4travellers.com.ar,Non-DGA,benign,
